,symbol,symbol_anonym,sector
307,ULTA,307,Consumer Cyclical
308,ZBH,308,Healthcare
309,IT,309,Technology
310,USB-PQ,310,Financial Services
311,MT,311,Basic Materials
312,ALGN,312,Healthcare
313,NA-PC.TO,313,Financial Services
314,SQM,314,Basic Materials
315,PPL.TO,315,Energy
316,TROW,316,Financial Services
317,DB,317,Financial Services
318,EFX,318,Industrials
319,CSNA3.SA,319,Basic Materials
320,HZNP,320,Healthcare
321,DAL,321,Industrials
322,FITB,322,Financial Services
323,EBAY,323,Consumer Cyclical
324,SABRP,324,Consumer Cyclical
325,POW.TO,325,Financial Services
326,ARES,326,Financial Services
327,GFLU,327,Industrials
328,WST,328,Healthcare
329,MTS.MC,329,Basic Materials
330,IR,330,Industrials
331,FTV,331,Technology
332,SPOT,332,Communication Services
333,IFF,333,Basic Materials
334,STLD,334,Basic Materials
335,MPWR,335,Technology
336,NA-PE.TO,336,Financial Services
337,PWR,337,Industrials
338,RJF,338,Financial Services
339,WY,339,Real Estate
340,KEY-PL,340,Financial Services
341,CNHI,341,Industrials
342,FRC,342,Financial Services
343,AENA.MC,343,Industrials
344,FSLR,344,Technology
345,DASH,345,Communication Services
346,MG.TO,346,Consumer Cyclical
347,RYAAY,347,Industrials
348,CM-PT.TO,348,Financial Services
349,HBAN,349,Financial Services
350,RF,350,Financial Services
351,FM.TO,351,Basic Materials
352,DOV,352,Industrials
353,TECK,353,Basic Materials
354,GLE.PA,354,Financial Services
355,PFG,355,Financial Services
356,LH,356,Healthcare
357,UMC,357,Technology
358,IX,358,Financial Services
359,HEI,359,Industrials
360,PARAP,360,Communication Services
361,HEI-A,361,Industrials
362,TOU.TO,362,Energy
363,TS,363,Energy
364,TDY,364,Technology
365,REP.MC,365,Energy
366,NET,366,Technology
367,LUV,367,Industrials
368,HUBS,368,Technology
369,VIE.PA,369,Industrials
370,CFG,370,Financial Services
371,HOLX,371,Healthcare
372,HPE,372,Technology
373,NTRS,373,Financial Services
374,NTCO3.SA,374,Consumer Defensive
375,PKX,375,Basic Materials
376,VTR,376,Real Estate
377,MOS,377,Basic Materials
378,JBHT,378,Industrials
379,WAB,379,Industrials
380,ICLR,380,Healthcare
381,STT-PG,381,Financial Services
382,STT-PD,382,Financial Services
383,RCL,383,Consumer Cyclical
384,PBA,384,Energy
385,XYL,385,Industrials
386,KEY-PK,386,Financial Services
387,BBY,387,Consumer Cyclical
388,SEDG,388,Technology
389,QRTEP,389,Consumer Cyclical
390,UGIC,390,Utilities
391,SWKS,391,Technology
392,HWM,392,Industrials
393,RF-PE,393,Financial Services
394,TRGP,394,Energy
395,DRI,395,Consumer Cyclical
396,FICO,396,Technology
397,FITBI,397,Financial Services
398,EPAM,398,Technology
399,PAYC,399,Technology
400,OWL,400,Financial Services
401,PLTR,401,Technology
402,MGM,402,Consumer Cyclical
403,FWONK,403,Communication Services
404,UAL,404,Industrials
405,FWONA,405,Communication Services
406,HTHT,406,Consumer Cyclical
407,RKT,407,Financial Services
408,MET-PF,408,Financial Services
409,KEY,409,Financial Services
410,AVTR,410,Basic Materials
411,LYV,411,Communication Services
412,CF,412,Basic Materials
413,SNAP,413,Communication Services
414,SIVB,414,Financial Services
415,FITBP,415,Financial Services
416,MRO,416,Energy
417,NIO,417,Consumer Cyclical
418,PKI,418,Healthcare
419,EXPE,419,Consumer Cyclical
420,SPLK,420,Technology
421,WMG,421,Communication Services
422,GOLL4.SA,422,Industrials
423,UI,423,Technology
424,LCID,424,Consumer Cyclical
425,MGA,425,Consumer Cyclical
426,TER,426,Technology
427,ASX,427,Technology
428,ZBRA,428,Technology
429,SYF,429,Financial Services
430,WLK,430,Basic Materials
431,FLT,431,Technology
432,AER,432,Industrials
433,KEY-PJ,433,Financial Services
434,CDAY.TO,434,Technology
435,LKQ,435,Consumer Cyclical
436,OVV.TO,436,Energy
437,FITBO,437,Financial Services
438,TXT,438,Industrials
439,CFG-PD,439,Financial Services
440,KEY-PI,440,Financial Services
441,ETSY,441,Consumer Cyclical
442,IVN.TO,442,Basic Materials
443,SSNC,443,Technology
444,PARAA,444,Communication Services
445,PARA,445,Communication Services
446,BEN,446,Financial Services
447,PTC,447,Technology
448,TFII.TO,448,Industrials
449,GFL.TO,449,Industrials
450,CCL,450,Consumer Cyclical
