symbol_anonymised,sector
623,Industrials
624,Technology
625,Real Estate
626,Real Estate
627,Energy
628,Technology
629,Consumer Cyclical
630,Technology
631,Consumer Defensive
632,Communication Services
633,Healthcare
634,Financial Services
635,Consumer Cyclical
636,Technology
637,Financial Services
638,Financial Services
639,Industrials
640,Technology
641,Consumer Cyclical
642,Consumer Cyclical
643,Consumer Cyclical
644,Financial Services
645,Real Estate
646,Real Estate
647,Consumer Cyclical
648,Basic Materials
649,Consumer Cyclical
650,Consumer Cyclical
651,Consumer Cyclical
652,Financial Services
653,Industrials
654,Financial Services
655,Real Estate
656,Industrials
657,Energy
658,Industrials
659,Industrials
660,Industrials
661,Technology
662,Financial Services
663,Financial Services
664,Basic Materials
665,Communication Services
666,Utilities
667,Technology
668,Consumer Cyclical
669,Industrials
670,Real Estate
671,Industrials
672,Industrials
673,Consumer Cyclical
674,Consumer Cyclical
675,Financial Services
676,Industrials
677,Industrials
678,Healthcare
679,Technology
680,Industrials
681,Consumer Cyclical
682,Utilities
683,Financial Services
684,Industrials
685,Technology
686,Technology
687,Financial Services
688,Basic Materials
689,Financial Services
690,Industrials
691,Consumer Cyclical
692,Technology
693,Basic Materials
694,Industrials
695,Industrials
696,Financial Services
697,Financial Services
698,Industrials
699,Financial Services
700,Industrials
701,Consumer Defensive
702,Healthcare
703,Consumer Cyclical
704,Consumer Defensive
705,Financial Services
706,Real Estate
707,Technology
708,Industrials
709,Consumer Cyclical
710,Financial Services
711,Consumer Cyclical
712,Industrials
713,Basic Materials
714,Real Estate
715,Energy
716,Consumer Cyclical
717,Real Estate
718,Financial Services
719,Consumer Cyclical
720,Basic Materials
721,Real Estate
722,Technology
723,Industrials
724,Financial Services
725,Energy
726,Financial Services
727,Consumer Cyclical
728,Industrials
729,Financial Services
730,Financial Services
731,Communication Services
732,Financial Services
733,Energy
734,Real Estate
735,Consumer Cyclical
736,Real Estate
737,Basic Materials
738,Consumer Cyclical
739,Energy
740,Consumer Cyclical
741,Energy
742,Industrials
743,Communication Services
744,Real Estate
745,Consumer Cyclical
746,Healthcare
747,Consumer Cyclical
748,Technology
749,Technology
750,Consumer Cyclical
751,Healthcare
752,Energy
753,Technology
754,Utilities
755,Industrials
756,Financial Services
757,Energy
758,Real Estate
759,Industrials
760,Consumer Cyclical
761,Consumer Cyclical
762,Energy
763,Consumer Cyclical
764,Utilities
765,Consumer Cyclical
766,Technology
767,Real Estate
768,Technology
769,Energy
770,Industrials
771,Technology
772,Technology
773,Healthcare
774,Energy
775,Real Estate
776,Consumer Cyclical
777,Technology
778,Industrials
779,Communication Services
780,Energy
781,Basic Materials
782,Healthcare
783,Industrials
784,Energy
785,Consumer Cyclical
786,Industrials
787,Real Estate
788,Healthcare
789,Healthcare
790,Consumer Cyclical
791,Energy
792,Communication Services
793,Consumer Cyclical
794,Financial Services
795,Healthcare
796,Energy
797,Financial Services
798,Industrials
799,Industrials
800,Technology
801,Real Estate
802,Consumer Cyclical
803,Real Estate
804,Technology
805,Industrials
806,Technology
807,Technology
808,Healthcare
809,Industrials
810,Industrials
811,Consumer Cyclical
812,Consumer Cyclical
813,Industrials
814,Healthcare
815,Basic Materials
816,Industrials
817,Financial Services
818,Technology
819,Basic Materials
820,Energy
821,Energy
822,Communication Services
823,Technology
824,Technology
825,Industrials
826,Healthcare
827,Financial Services
828,Energy
829,Real Estate
830,Industrials
831,Technology
832,Financial Services
833,Financial Services
834,Consumer Cyclical
835,Financial Services
836,Real Estate
837,Technology
838,Technology
839,Financial Services
840,Industrials
841,Financial Services
842,Consumer Cyclical
843,Basic Materials
844,Basic Materials
845,Financial Services
846,Basic Materials
847,Technology
848,Industrials
849,Financial Services
850,Industrials
851,Technology
852,Technology
853,Energy
854,Industrials
855,Energy
856,Consumer Cyclical
857,Energy
858,Technology
859,Energy
860,Basic Materials
861,
862,Consumer Cyclical
863,
864,Technology
865,Industrials
866,Financial Services
867,Financial Services
868,Real Estate
869,Basic Materials
870,Industrials
871,Real Estate
872,Technology
873,Basic Materials
874,Financial Services
875,Industrials
876,Energy
877,Financial Services
878,Real Estate
879,Consumer Cyclical
880,Consumer Cyclical
881,Energy
882,Technology
883,Financial Services
884,Technology
885,Real Estate
886,Technology
887,Industrials
888,Consumer Cyclical
889,Energy
890,Financial Services
891,Industrials
892,Basic Materials
893,Financial Services
894,Financial Services
895,Industrials
896,Financial Services
897,Basic Materials
898,Basic Materials
899,Technology
900,Real Estate
901,Technology
902,Financial Services
903,Technology
904,Industrials
905,Healthcare
906,Consumer Cyclical
907,Industrials
908,Basic Materials
909,Energy
910,Financial Services
911,Consumer Cyclical
912,Basic Materials
913,Technology
914,Real Estate
915,Consumer Cyclical
916,Energy
917,Communication Services
918,Energy
919,Utilities
920,Industrials
921,Technology
922,Industrials
923,Basic Materials
924,Technology
925,Financial Services
926,Consumer Cyclical
927,Technology
928,Real Estate
929,Basic Materials
930,Financial Services
931,Communication Services
932,Financial Services
933,Consumer Cyclical
934,Financial Services
935,Basic Materials
936,Real Estate
937,Technology
938,Consumer Cyclical
939,Energy
940,Industrials
941,Industrials
